2010,2011,2012,2013,2014,2015,average,Average 2010-2015,Stop ID,Stop Name,
3025719,3598477,3961111,3782675,3616947,3672702,3609605.167,"3,609,605.17",F21,Carroll St,
1501360,577571,0,926087,1539209,1636221,1030074.667,"1,030,074.67",F22,Smith - 9 Sts,
3672622,4020665,4300400,4210873,4120946,4199208,4087452.333,"4,087,452.33",F23-R33,4 Av / 9 St,
3397045,3934545,3699471,3904986,3886594,3780126,3767127.833,"3,767,127.83",F24,7 Av,
1922348,1449241,1852346,2005424,2017347,2011237,1876323.833,"1,876,323.83",F25,15 St - Prospect Park,
1509737,1292131,1538039,1688093,1729381,1792239,1591603.333,"1,591,603.33",F26,Fort Hamilton Pkwy,
2968167,3271729,3081142,3193844,3201585,3353795,3178377,"3,178,377.00",F27,Church Av,
1377549,1392790,1404811,1455737,1437835,1033946,1350444.667,"1,350,444.67",F29,Ditmas Av,
1287551,1306839,1294568,1313344,1277024,1392552,1311979.667,"1,311,979.67",F30,18 Av,
708788,696851,684241,699582,696140,672710,693052,"693,052.00",F31,Avenue I,
427277,434564,464906,487308,478322,460536,458818.8333,"458,818.83",F32,Bay Pkwy,
1016781,1049752,1012534,1044429,1050916,1027713,1033687.5,"1,033,687.50",F33,Avenue N,
829508,836317,825620,861095,864424,858733,845949.5,"845,949.50",F34,Avenue P,
1073519,1115062,1117098,1134042,1137784,1202640,1130024.167,"1,130,024.17",F35,Kings Hwy,
723222,696998,707595,717486,699414,716715,710238.3333,"710,238.33",F36,Avenue U,
843207,854737,860597,908520,892170,589962,824865.5,"824,865.50",F38,Avenue X,
516846,536991,505076,523554,512828,531011,521051,"521,051.00",F39,Neptune Av,
11656110,12147163,12204423,12507906,12784635,12622977,12320535.67,"12,320,535.67",G05,Jamaica Center - Parsons/Archer,
6447287,6839255,6975316,7303038,7633725,7767728,7161058.167,"7,161,058.17",G06,Sutphin Blvd - Archer Av - JFK Airport,
1421186,1527249,1552178,1565998,1587413,1545016,1533173.333,"1,533,173.33",G07,Jamaica - Van Wyck,
8137277,8316825,8342293,8573480,8585239,8654547,8434943.5,"8,434,943.50",G08,Forest Hills - 71 Av,
2757795,2791494,2770364,2818350,2851905,2853794,2807283.667,"2,807,283.67",G09,67 Av,
4660828,4891415,4998378,5129203,5272014,5244226,5032677.333,"5,032,677.33",G10,63 Dr - Rego Park,
7307038,7241776,7157320,7157254,7125205,7120037,7184771.667,"7,184,771.67",G11,Woodhaven Blvd,
5564842,5721038,5741626,5832568,5861823,5995764,5786276.833,"5,786,276.83",G12,Grand Av - Newtown,
4228036,4338857,4344648,4343633,4362316,4350714,4328034,"4,328,034.00",G13,Elmhurst Av,
1065702,1098734,1131591,1124823,1159576,1192281,1128784.5,"1,128,784.50",G15,65 St,
2204923,2184353,2214223,2239136,2290836,2282296,2235961.167,"2,235,961.17",G16,Northern Blvd,
2935729,2964965,2978233,3014082,3021219,2956981,2978534.833,"2,978,534.83",G18,46 St,
4561738,4930914,4866245,4798179,4807448,4779346,4790645,"4,790,645.00",G19,Steinway St,
1128415,1238985,1257059,1278109,1307054,1339754,1258229.333,"1,258,229.33",G20,36 St,
2408523,2550906,2747366,2855006,3005223,3101888,2778152,"2,778,152.00",G21,Queens Plaza,
7249807,6334869,5340581,6072768,6664442,6730837,6398884,"6,398,884.00",G22-719-F09,Court Sq / Court Sq / Court Sq,
319984,364597,469173,422616,427353,533529,422875.3333,"422,875.33",G24,21 St,
2200679,2490286,2521422,2543568,2428027,2902723,2514450.833,"2,514,450.83",G26,Greenpoint Av,
2126804,2396169,2479649,2653526,2760220,2916005,2555395.5,"2,555,395.50",G28,Nassau Av,
4394498,4479022,4643512,5040719,5090344,5238736,4814471.833,"4,814,471.83",G29-L10,Metropolitan Av / Lorimer St,
941243,995856,1023397,1071877,1124407,1313362,1078357,"1,078,357.00",G30,Broadway,
553739,616083,655317,728668,808421,866803,704838.5,"704,838.50",G31,Flushing Av,
1223378,1383197,1440313,1578243,1722392,1875988,1537251.833,"1,537,251.83",G32,Myrtle - Willoughby Avs,
1895163,2012606,2138852,2348998,2513681,2634066,2257227.667,"2,257,227.67",G33,Bedford - Nostrand Avs,
1207680,1308232,1355886,1432872,1477256,1604508,1397739,"1,397,739.00",G34,Classon Av,
1517296,1628558,1637463,1678004,1652336,1716023,1638280,"1,638,280.00",G35,Clinton - Washington Avs,
1098862,1179034,1280063,1394890,1485669,1643353,1346978.5,"1,346,978.50",G36,Fulton St,
29644,54183,0,213601,630644,672734,266801,"266,801.00",H01,Aqueduct Racetrack,
238119,474915,890505,698115,357399,365488,504090.1667,"504,090.17",H02,Aqueduct - N Conduit Av,
908576,928529,1074516,1626984,963503,1041816,1090654,"1,090,654.00",H03,Howard Beach - JFK Airport,
92523,88837,75969,36849,74386,91766,76721.66667,"76,721.67",H04,Broad Channel,
473942,681006,572418,357807,701784,799134,597681.8333,"597,681.83",H06,Beach 67 St,
789468,555937,588970,406698,772376,801015,652410.6667,"652,410.67",H07,Beach 60 St,
143788,225250,161946,91331,181758,197543,166936,"166,936.00",H08,Beach 44 St,
326592,192676,217880,143400,272799,296860,241701.1667,"241,701.17",H09,Beach 36 St,
388387,501037,437602,267585,519843,570312,447461,"447,461.00",H10,Beach 25 St,
1374989,1426835,1217871,806025,1486147,1576988,1314809.167,"1,314,809.17",H11,Far Rockaway - Mott Av,
338595,387012,305397,194416,306284,333006,310785,"310,785.00",H12,Beach 90 St,
215474,198503,193332,100594,200197,214040,187023.3333,"187,023.33",H13,Beach 98 St,
65802,80580,82088,48916,82980,99254,76603.33333,"76,603.33",H14,Beach 105 St,
268625,286902,251080,135956,231407,255542,238252,"238,252.00",H15,Rockaway Park - Beach 116 St,
663832,694567,664855,688985,766469,788674,711230.3333,"711,230.33",J12,121 St,
781872,805590,764882,780300,802275,812055,791162.3333,"791,162.33",J13,111 St,
760419,782115,755193,779537,827890,841545,791116.5,"791,116.50",J14,104 St,
1285323,1357800,1328319,1398536,1505920,1551590,1404581.333,"1,404,581.33",J15,Woodhaven Blvd,
1100059,1138842,1125639,1157863,1212661,1239793,1162476.167,"1,162,476.17",J16,85 St - Forest Pkwy,
1102869,1128911,1107947,1138544,1172162,1196186,1141103.167,"1,141,103.17",J17,75 St,
419062,435446,411495,432557,450480,452936,433662.6667,"433,662.67",J19,Cypress Hills,
1464238,1514075,1504645,1509290,1583134,1626727,1533684.833,"1,533,684.83",J20,Crescent St,
1056263,1065062,1097011,1095573,1145643,1159274,1103137.667,"1,103,137.67",J21,Norwood Av,
970732,1002848,1029708,1050261,1107397,1120403,1046891.5,"1,046,891.50",J22,Cleveland St,
828566,886663,893665,913115,943663,966461,905355.5,"905,355.50",J23,Van Siclen Av,
712714,759581,772447,770075,784998,814578,769065.5,"769,065.50",J24,Alabama Av,
898984,966989,964735,938803,959091,1045698,962383.3333,"962,383.33",J28,Chauncey St,
1730267,1805490,1800505,1845755,1968526,2083683,1872371,"1,872,371.00",J29,Halsey St,
1749349,1870109,1901060,1895878,1984486,2100864,1916957.667,"1,916,957.67",J30,Gates Av,
1401401,1468119,1482044,1515244,1521002,1593719,1496921.5,"1,496,921.50",J31,Kosciuszko St,
15029178,15199211,15487097,15844699,16215866,16121318,15649561.5,"15,649,561.50",L02-132-D19,6 Av / 14 St / 14 St,
2060364,2048408,2182023,2310062,2473561,2386533,2243491.833,"2,243,491.83",L05,3 Av,
6936132,7050336,7296576,7735905,8111070,7702110,7472021.5,"7,472,021.50",L06,1 Av,
7418203,7738863,8342397,9214395,9892516,9388289,8665777.167,"8,665,777.17",L08,Bedford Av,
3028830,3054897,3086342,3179579,3402514,3293413,3174262.5,"3,174,262.50",L11,Graham Av,
2103847,2135063,2145374,2260023,2414872,2242757,2216989.333,"2,216,989.33",L12,Grand St,
1951066,1983449,2075901,2178772,2335128,2334271,2143097.833,"2,143,097.83",L13,Montrose Av,
2021162,2114813,2262826,2373595,2513823,2453723,2289990.333,"2,289,990.33",L14,Morgan Av,
1740644,1815391,1906878,2136772,2425983,2514292,2089993.333,"2,089,993.33",L15,Jefferson St,
3343666,3382468,3495896,3712102,3924836,3938538,3632917.667,"3,632,917.67",L16,DeKalb Av,
5399769,5358434,5662633,5982615,6381800,6464630,5874980.167,"5,874,980.17",L17-M08,Myrtle - Wyckoff Avs / Myrtle - Wyckoff Avs,
2019248,2037729,2136529,2317512,2492974,2465693,2244947.5,"2,244,947.50",L19,Halsey St,
1089448,1093030,1115994,1243700,1393045,1407098,1223719.167,"1,223,719.17",L20,Wilson Av,
398834,405385,427032,490042,563577,598393,480543.8333,"480,543.83",L21,Bushwick Av - Aberdeen St,
2767838,2810713,2862830,2948156,3018656,3133658,2923641.833,"2,923,641.83",L22-A51-J27,Broadway Jct / Broadway Jct / Broadway Jct,
424208,427914,444960,482835,535041,422505,456243.8333,"456,243.83",L24,Atlantic Av,
1280175,1303422,1383957,1449524,1499122,1453567,1394961.167,"1,394,961.17",L25,Sutter Av,
785229,829015,902860,934287,987560,1001522,906745.5,"906,745.50",L26,Livonia Av,
1231257,1304384,1379065,1499902,1583983,1595607,1432366.333,"1,432,366.33",L27,New Lots Av,
1065469,1101683,1110433,1161688,1197125,1187844,1137373.667,"1,137,373.67",L28,E 105 St,
3806903,3865823,3920243,4062690,4175970,4024313,3975990.333,"3,975,990.33",L29,Canarsie - Rockaway Pkwy,
1124754,1220377,1189616,1200171,1300110,1361246,1232712.333,"1,232,712.33",M01,Middle Village - Metropolitan Av,
1453610,1617252,1590304,1534754,1676862,1806429,1613201.833,"1,613,201.83",M04,Fresh Pond Rd,
1045413,1172881,1134938,1179301,1235376,1317289,1180866.333,"1,180,866.33",M05,Forest Av,
670795,758144,716729,711011,755026,842069,742295.6667,"742,295.67",M06,Seneca Av,
1007087,1136213,702426,1018286,1147331,1288025,1049894.667,"1,049,894.67",M09,Knickerbocker Av,
760657,890194,992142,505757,970531,1141731,876835.3333,"876,835.33",M10,Central Av,
2991967,3155344,3257338,3562631,3523740,3687468,3363081.333,"3,363,081.33",M11,Myrtle Av,
2610974,2683278,2776360,2869903,2847691,2991074,2796546.667,"2,796,546.67",M12,Flushing Av,
1404557,1470761,1494085,1523986,1500980,1614154,1501420.5,"1,501,420.50",M13,Lorimer St,
785545,848377,895661,927212,903641,981379,890302.5,"890,302.50",M14,Hewes St,
3276009,3609981,3564065,3681903,3953628,4204877,3715077.167,"3,715,077.17",M16,Marcy Av,
1044394,991686,968629,970576,1057000,1184920,1036200.833,"1,036,200.83",M19,Bowery,
1636627,1473717,1315012,1436506,1662905,1834780,1559924.5,"1,559,924.50",M23,Broad St,
3475890,3484429,3559576,3677764,3851372,3796909,3640990,"3,640,990.00",N02,8 Av,
2045741,2086389,2105486,2200487,2278120,2164028,2146708.5,"2,146,708.50",N03,Fort Hamilton Pkwy,
1676056,1828462,1819255,1641928,1775695,1784992,1754398,"1,754,398.00",N05,18 Av,
1194973,1220065,1245145,1286961,1305487,1279525,1255359.333,"1,255,359.33",N06,20 Av,
2107881,2160569,2221968,2243082,2342792,2298369,2229110.167,"2,229,110.17",N07,Bay Pkwy,
1602420,1601357,1616827,1630749,1687226,1710115,1641449,"1,641,449.00",N08,Kings Hwy,
1263986,1244178,1297870,1211062,1251276,1253349,1253620.167,"1,253,620.17",N09,Avenue U,
770621,796379,811332,801109,837472,859293,812701,"812,701.00",N10,86 St,
5102415,5203409,5233305,5405084,5416919,5407027,5294693.167,"5,294,693.17",R01,Astoria - Ditmars Blvd,
3621730,3850546,3871213,3962838,3914637,3926062,3857837.667,"3,857,837.67",R03,Astoria Blvd,
4459345,4340888,4622323,4776709,4808350,4745260,4625479.167,"4,625,479.17",R04,30 Av,
4078606,4007018,4161120,4325297,4407347,4300632,4213336.667,"4,213,336.67",R05,Broadway,
2354426,2246477,2412794,2462645,2439630,2394564,2385089.333,"2,385,089.33",R06,36 Av,
868691,823763,930291,1012381,1104375,1072026,968587.8333,"968,587.83",R08,39 Av,
5770964,5893657,5941836,5927685,6155019,6017047,5951034.667,"5,951,034.67",R13,5 Av/59 St,
8804794,8613792,8726980,8945751,9314649,9512090,8986342.667,"8,986,342.67",R14,57 St - 7 Av,
8139011,8121552,8186576,8155010,8544694,8029988,8196138.5,"8,196,138.50",R15,49 St,
3044555,3297714,3413315,3520209,3796977,4083143,3525985.5,"3,525,985.50",R18,28 St,
5998303,6659479,6805210,6905704,7348879,7965410,6947164.167,"6,947,164.17",R19,23 St,
34730692,34927178,34639575,35309414,35677468,35320623,35100825,"35,100,825.00",R20-635-L03,14 St - Union Sq / 14 St - Union Sq / Union Sq - 14 St,
5474109,5779126,5663358,5379647,5635598,5894747,5637764.167,"5,637,764.17",R21,8 St - NYU,
5146546,5603783,5508110,5209433,5311765,5386641,5361046.333,"5,361,046.33",R22,Prince St,
2790204,2627822,2094122,1560414,1151646,1828806,2008835.667,"2,008,835.67",R24,City Hall,
1130741,1640638,2062289,1601732,1500040,2713532,1774828.667,"1,774,828.67",R25,Cortlandt St,
2463933,2413512,2053706,1524110,1116833,1896968,1911510.333,"1,911,510.33",R26,Rector St,
11134599,11115037,10988473,11291705,11474717,11360058,11227431.5,"11,227,431.50",R28-232-423,Court St / Borough Hall / Borough Hall,
5079961,5122803,5222096,5223608,5288037,5373388,5218315.5,"5,218,315.50",R30,DeKalb Av,
10478354,10726332,11526090,13122876,13617153,13690678,12193580.5,"12,193,580.50",R31-235-D24,Atlantic Av - Barclays Ctr / Atlantic Av - Barclays Ctr / Atlantic Av - Barclays Ctr,
2126492,2228520,2148505,2058555,2065047,2073096,2116702.5,"2,116,702.50",R32,Union St,
1863247,1930101,1864725,1826064,1827271,1785990,1849566.333,"1,849,566.33",R34,Prospect Av,
1208827,1243737,1198226,1218842,1274939,1221949,1227753.333,"1,227,753.33",R35,25 St,
3567832,3659139,3772420,3826400,3970318,4138929,3822506.333,"3,822,506.33",R36,36 St,
2284356,2328141,2255877,2251217,2323521,2321241,2294058.833,"2,294,058.83",R39,45 St,
2370851,2401105,2357449,2387370,2405353,2374338,2382744.333,"2,382,744.33",R40,53 St,
3867990,3819141,3848745,3968334,4094658,4158863,3959621.833,"3,959,621.83",R41,59 St,
2483394,2538150,2522369,2525470,2597559,2623309,2548375.167,"2,548,375.17",R42,Bay Ridge Av,
1545617,1579635,1600644,1645262,1711410,1723178,1634291,"1,634,291.00",R43,77 St,
3306164,3445470,3515085,3662602,3753132,3747601,3571675.667,"3,571,675.67",R44,86 St,
1719577,1769432,1809829,1830193,1858200,1865038,1808711.5,"1,808,711.50",R45,Bay Ridge - 95 St,
710863,707253,682438,646934,608731,602858,659846.1667,"659,846.17",S03,Park Pl,
,,,,,,,0.00,,,
,,,,,,,0.00,,,
,,,,,,,0.00,,,
,,,,,,,0.00,,,
,,,,,,,0.00,,,
,,,,,,,0.00,,,
,,,,,,,0.00,,,
,,,,,,,0.00,,,
,,,,,,,0.00,,,
,,,,,,,0.00,,,
,,,,,,,0.00,,,
,,,,,,,0.00,,,
,,,,,,,0.00,,,
,,,,,,,0.00,,,
,,,,,,,0.00,,,
,,,,,,,0.00,,,
