2010,2011,2012,2013,2014,2015,average,Average 2010-2015,Stop ID,Stop Name,
2994162,3057877,2987887,3059215,3020066,3070551,3031626.333,"3,031,626.33",244,Church Av,
1231592,1276466,1274789,1364573,1360719,1392643,1316797,"1,316,797.00",245,Beverly Rd,
2347178,2352060,2279365,2393978,2431300,2476287,2380028,"2,380,028.00",246,Newkirk Av,
6335954,6547958,6384496,6562226,6447908,6487608,6461025,"6,461,025.00",247,Flatbush Av - Brooklyn College,
1290482,1324424,1313227,1327377,1358826,1386067,1333400.5,"1,333,400.50",248,Nostrand Av,
1485344,1519113,1515277,1545567,1564089,1573003,1533732.167,"1,533,732.17",249,Kingston Av,
8498343,8438284,8469613,8534705,8690082,8965908,8599489.167,"8,599,489.17",250,Crown Hts - Utica Av,
2317306,2370949,2288256,2419794,2467381,2420464,2380691.667,"2,380,691.67",251,Sutter Av - Rutland Rd,
1699652,1743578,1676421,1777399,1791700,2442282,1855172,"1,855,172.00",252,Saratoga Av,
1787382,1792136,1682755,1753354,1763824,526505,1550992.667,"1,550,992.67",253,Rockaway Av,
672366,678990,660013,690625,727369,928235,726266.3333,"726,266.33",254,Junius St,
1805195,1805956,1690851,1752108,1746438,2111790,1818723,"1,818,723.00",255,Pennsylvania Av,
1023416,1061359,1016466,1060055,1048755,304082,919022.1667,"919,022.17",256,Van Siclen Av,
1885350,1954353,1857630,1975478,2038532,2155220,1977760.5,"1,977,760.50",257,New Lots Av,
989568,1101666,1110842,1171372,1209633,1269910,1142165.167,"1,142,165.17",301,Harlem - 148 St,
873390,981914,1014623,1073259,1114674,1137484,1032557.333,"1,032,557.33",302,145 St,
2379276,2494092,2417765,2423278,2375663,2418890,2418160.667,"2,418,160.67",401,Woodlawn,
2913786,2961522,2906150,2917501,2886764,2891451,2912862.333,"2,912,862.33",402,Mosholu Pkwy,
1786305,1835965,1796392,1853706,1827260,1863892,1827253.333,"1,827,253.33",405,Bedford Park Blvd - Lehman College,
3037572,3169615,3173688,3198725,3149605,3171646,3150141.833,"3,150,141.83",406,Kingsbridge Rd,
3866249,3966339,3947625,3946955,3857749,3892140,3912842.833,"3,912,842.83",407,Fordham Rd,
1945021,1978737,1997038,2002633,2007140,2057944,1998085.5,"1,998,085.50",408,183 St,
3533604,3528312,3508076,3560191,3558297,3641720,3555033.333,"3,555,033.33",409,Burnside Av,
1445219,1720629,1764100,1837995,1848854,1969221,1764336.333,"1,764,336.33",410,176 St,
1843698,1814951,1818870,1848483,1824861,1844131,1832499,"1,832,499.00",411,Mt Eden Av,
2950997,2954573,2980786,2961575,2941958,3045205,2972515.667,"2,972,515.67",412,170 St,
2931947,2978748,3039634,3081534,3067345,3180274,3046580.333,"3,046,580.33",413,167 St,
898509,917911,939284,957984,1033559,1056380,967271.1667,"967,271.17",416,138 St - Grand Concourse,
6393591,6526692,6658687,7231884,7437325,6708745,6826154,"6,826,154.00",419,Wall St,
7770956,7793614,7990789,9081649,10261064,9153462,8675255.667,"8,675,255.67",420,Bowling Green,
1258858,1309695,1366077,1441375,1380334,1330123,1347743.667,"1,347,743.67",501,Eastchester - Dyre Av,
1087618,1106959,1161075,1234050,1186372,1137693,1152294.5,"1,152,294.50",502,Baychester Av,
1713288,1683011,1757377,1792707,1716952,1639924,1717209.833,"1,717,209.83",503,Gun Hill Rd,
883490,897433,923188,919689,907735,894727,904377,"904,377.00",504,Pelham Pkwy,
535823,554320,589170,631930,621945,629282,593745,"593,745.00",505,Morris Park,
1997392,2062525,2030215,2096130,2318533,2337689,2140414,"2,140,414.00",601,Pelham Bay Park,
895193,991171,1008640,1111659,637600,661527,884298.3333,"884,298.33",602,Buhre Av,
546692,559746,566771,441950,661242,795762,595360.5,"595,360.50",603,Middletown Rd,
1885522,1993343,1964525,2043649,2177402,2056555,2020166,"2,020,166.00",604,Westchester Sq - E Tremont Av,
759280,825755,849815,985388,599478,492883,752099.8333,"752,099.83",606,Zerega Av,
2345255,2341370,2327404,1756879,1491030,2174412,2072725,"2,072,725.00",607,Castle Hill Av,
3944729,4851182,4687402,5215409,5586943,5224959,4918437.333,"4,918,437.33",608,Parkchester,
1655340,463809,1212796,1280074,1315456,1320571,1208007.667,"1,208,007.67",609,St Lawrence Av,
730517,3028145,2057570,2096942,2125383,2097203,2022626.667,"2,022,626.67",610,Morrison Av- Sound View,
2864031,721362,1936349,2041453,2084044,2080228,1954577.833,"1,954,577.83",611,Elder Av,
163461,726747,524988,534489,543798,545079,506427,"506,427.00",612,Whitlock Av,
3248970,3191706,3204779,3158343,3138131,3305563,3207915.333,"3,207,915.33",613,Hunts Point Av,
1026772,1067960,1065764,1087990,1098022,1088970,1072579.667,"1,072,579.67",614,Longwood Av,
1351873,1383455,1403118,1457795,1460311,1479241,1422632.167,"1,422,632.17",615,E 149 St,
256277,280840,285464,273895,279012,298462,278991.6667,"278,991.67",616,E 143 St - St Mary's St,
1158742,1142381,1097947,1186696,1226878,1228311,1173492.5,"1,173,492.50",617,Cypress Av,
1902909,1950893,1901192,1970010,2002825,1981721,1951591.667,"1,951,591.67",618,Brook Av,
2190627,2280268,2304717,2443326,2534036,2531974,2380824.667,"2,380,824.67",619,3 Av - 138 St,
8834429,8868272,8965496,9290210,9574765,9586567,9186623.167,"9,186,623.17",621,125 St,
5100170,5253753,5264035,5347692,5370343,5324072,5276677.5,"5,276,677.50",622,116 St,
3722821,3771563,3740549,3841826,3955522,4209449,3873621.667,"3,873,621.67",623,110 St,
4799555,4901637,4861001,5038138,5198601,4031201,4805022.167,"4,805,022.17",624,103 St,
7458694,7753114,7708346,7785646,7958453,8294978,7826538.5,"7,826,538.50",625,96 St,
19147021,19425347,19686985,20528208,20735032,20890828,20068903.5,"20,068,903.50",626,86 St,
